Wall time,Step,Value
1782498888.2668118,3072,-136.5183563232422
1782498889.481309,3584,-140.81983947753906
1782498893.187244,5632,-93.13665771484375
1782498894.1066592,6144,-87.04656219482422
1782498896.0271418,7168,-69.93785095214844
1782498896.958372,7680,-61.20999526977539
1782498897.8783739,8192,-59.38907241821289
1782498899.772741,9216,-63.12735366821289
1782498900.734613,9728,-65.09893798828125
1782498901.647292,10240,-53.46525573730469
1782498902.5667121,10752,-53.180877685546875
1782498906.28777,12800,-31.275012969970703
1782498914.930206,17408,34.312870025634766
1782498915.846688,17920,36.887874603271484
1782498917.7116659,18944,35.77252197265625
1782498920.47353,20480,46.44971466064453
1782498921.386112,20992,51.353275299072266
1782498923.2584279,22016,75.13933563232422
1782498925.204252,23040,87.00397491455078
1782498926.12238,23552,100.3925552368164
1782498927.962475,24576,92.60968780517578
1782498931.806425,25600,81.12959289550781
1782498932.723182,26112,85.38996124267578
1782498935.759407,27648,103.57767486572266
1782498936.695801,28160,106.3824691772461
1782498937.6016908,28672,112.49847412109375
1782498938.508522,29184,106.62201690673828
1782498939.4391308,29696,107.13848876953125
1782498942.2068841,31232,117.4254150390625
1782498943.1211321,31744,123.49651336669922
1782498944.947072,32768,129.1755828857422
1782498946.766836,33792,130.84226989746094
1782498947.674027,34304,132.65428161621094
1782498948.578284,34816,127.67982482910156
1782498949.55388,35328,133.0098876953125
1782498952.34467,36864,141.95433044433594
1782498953.24931,37376,135.9756317138672
1782498954.1619709,37888,141.1714324951172
1782498955.07602,38400,143.5198974609375
1782498956.956924,39424,147.9529266357422
1782498959.9910998,40960,165.99185180664062
1782498964.622071,43520,172.02578735351562
1782498965.53707,44032,168.02537536621094
1782498966.4429178,44544,166.88514709472656
1782498967.3437262,45056,164.1404266357422
1782498968.2484019,45568,168.28033447265625
1782498969.155089,46080,159.11184692382812
1782498973.709683,48640,152.9212188720703
1782498983.612651,52736,190.28860473632812
1782498986.363126,54272,173.9011688232422
1782498987.269645,54784,172.55833435058594
1782498993.676702,58368,176.42953491210938
1782498996.411768,59904,170.50637817382812
1782498998.2247849,60928,175.6038055419922
1782498999.132517,61440,170.819580078125
1782499000.0411048,61952,169.72361755371094
1782499003.71545,64000,175.1361846923828
1782499004.8794482,64512,183.20872497558594
1782499005.808636,65024,186.9670867919922
1782499008.630184,66560,178.57611083984375
1782499009.5468469,67072,174.71047973632812
1782499012.280233,68608,172.9163360595703
1782499015.915512,70656,181.63343811035156
1782499017.728012,71680,190.6001739501953
1782499019.548188,72704,181.1741943359375
1782499020.459796,73216,182.09719848632812
1782499021.36785,73728,179.20361328125
1782499022.274245,74240,177.84657287597656
1782499026.0044029,75264,173.58139038085938
1782499027.8332238,76288,179.8973846435547
1782499029.677973,77312,189.44744873046875
1782499032.440893,78848,198.5686798095703
1782499033.356106,79360,195.1607208251953
1782499034.264537,79872,190.26248168945312
1782499036.079297,80896,186.2775421142578
1782499036.98756,81408,190.16433715820312
1782499037.8961742,81920,185.53741455078125
1782499040.987179,83456,194.42489624023438
1782499042.8689878,84480,198.42742919921875
1782499043.789488,84992,190.67567443847656
1782499045.611615,86016,198.9917449951172
1782499046.556268,86528,199.68203735351562
